SHITOMASI & BRISK,SHITOMASI & BRIEF,SHITOMASI & ORB,SHITOMASI & FREAK,SHITOMASI & SIFT,HARRIS & BRISK,HARRIS & BRIEF,HARRIS & ORB,HARRIS & FREAK,HARRIS & SIFT,FAST & BRISK,FAST & BRIEF,FAST & ORB,FAST & FREAK,FAST & SIFT,BRISK & BRISK,BRISK & BRIEF,BRISK & ORB,BRISK & FREAK,BRISK & SIFT,ORB & BRISK,ORB & BRIEF,ORB & ORB,ORB & FREAK,ORB & SIFT,AKAZE & AKAZE,SIFT & BRISK,SIFT & BRIEF,SIFT & FREAK,SIFT & SIFT,
1.088157,0.837183,0.670571,29.906298,11.976795,0.526699,0.261394,0.479608,29.624495,7.025545,3.217862,1.002516,0.937245,29.705364,22.810793,1.833930,0.713151,2.651223,27.195906,31.638388,0.798593,0.350605,2.761296,28.377415,31.649860,52.405670,1.024597,0.896185,30.016993,55.223957,
1.288931,0.929746,0.556179,26.937420,7.796438,0.527319,0.277945,0.503849,26.705046,7.589294,2.871187,1.038907,0.814753,30.268623,20.744551,1.963262,3.840513,6.114170,28.685301,34.843559,0.778343,0.401177,2.767905,27.035025,30.530991,57.540783,0.988207,0.437377,29.967644,55.283131,
1.243930,0.879745,0.548649,28.233021,8.076011,0.515919,0.281484,0.498748,26.971699,7.139757,2.709374,1.088308,0.898245,28.513746,28.396633,1.903461,0.738812,2.913638,28.288134,31.324354,0.825083,0.437817,2.629754,28.733492,39.512520,47.221245,0.924505,0.443447,38.458393,50.016983,
1.245360,0.842914,0.801392,27.928797,10.209206,0.533578,0.269404,0.496148,27.594320,7.309399,2.794185,1.034857,0.838944,29.018442,23.633295,1.895441,0.822743,2.864137,27.863417,32.392269,0.851394,0.476458,2.459770,29.108316,33.850407,50.614571,1.087658,0.461337,34.593040,41.843086,
1.580736,0.761302,0.568209,27.911425,9.663007,0.548939,0.276245,0.488148,27.990868,7.385970,2.515691,1.105849,0.773633,28.226061,16.965878,2.264897,1.024307,5.836246,27.589222,32.030445,0.838034,0.391137,2.859887,27.505922,36.260006,44.939167,1.085299,0.460118,31.356396,38.645855,
1.282961,0.773912,0.657531,27.585920,9.736689,0.755272,0.288464,0.743962,28.438913,7.560053,2.714583,1.146798,0.759932,28.747931,24.530432,1.953661,4.203609,3.193272,29.183369,29.816170,0.942595,0.476788,3.098350,27.379478,49.764187,46.719608,1.046587,0.562009,37.492825,41.962749,
1.184330,0.842034,0.562629,28.821390,9.039077,0.640920,0.387896,0.491708,31.142029,7.427121,2.784266,1.012237,0.904915,28.635967,20.748138,2.050634,0.778603,3.251904,27.624493,31.435884,0.966486,0.448128,2.734664,30.441669,38.072525,50.425339,1.020637,0.690541,30.747345,44.502434,
1.489664,0.903245,0.611090,28.537415,7.804728,0.591650,0.284194,0.490658,26.873968,7.532982,2.685084,1.011036,0.866344,28.778780,30.401537,1.902231,2.682085,2.963939,27.694313,35.536453,0.965906,0.447257,2.586103,29.447424,53.252956,51.780182,1.253350,0.945345,34.203941,45.890682,
1.369392,0.900874,0.644680,27.598928,8.047851,0.592039,0.292275,0.482138,26.700226,7.378721,2.677464,1.038687,0.837073,29.224506,28.993343,1.799509,0.726242,3.109700,27.767235,34.781811,0.983586,0.442447,2.666144,27.683933,43.265652,50.376148,1.130949,1.225761,28.720612,49.642147,
1.364242,0.773763,0.664140,27.390297,9.293132,0.558489,0.375936,0.483468,26.488934,11.752711,2.611103,0.999346,0.754982,28.628307,19.748552,2.025914,0.693162,2.603172,27.623953,32.052944,0.960496,0.586060,3.126683,27.912149,47.696533,43.989071,1.083138,0.493018,27.988400,44.937901,
