SHITOMASI & BRISK,SHITOMASI & BRIEF,SHITOMASI & ORB,SHITOMASI & FREAK,SHITOMASI & SIFT,HARRIS & BRISK,HARRIS & BRIEF,HARRIS & ORB,HARRIS & FREAK,HARRIS & SIFT,FAST & BRISK,FAST & BRIEF,FAST & ORB,FAST & FREAK,FAST & SIFT,BRISK & BRISK,BRISK & BRIEF,BRISK & ORB,BRISK & FREAK,BRISK & SIFT,ORB & BRISK,ORB & BRIEF,ORB & ORB,ORB & FREAK,ORB & SIFT,AKAZE & AKAZE,SIFT & BRISK,SIFT & BRIEF,SIFT & FREAK,SIFT & SIFT,
1370,1370,1370,1370,1370,492,492,492,492,492,5063,5063,5063,5063,5063,2757,2757,2757,2757,2757,500,500,500,500,500,1351,1437,1437,1437,1437,
1301,1301,1301,1301,1301,502,502,502,502,502,4952,4952,4952,4952,4952,2777,2777,2777,2777,2777,500,500,500,500,500,1327,1371,1371,1371,1371,
1361,1361,1361,1361,1361,516,516,516,516,516,4863,4863,4863,4863,4863,2741,2741,2741,2741,2741,500,500,500,500,500,1311,1381,1381,1381,1381,
1358,1358,1358,1358,1358,524,524,524,524,524,4840,4840,4840,4840,4840,2735,2735,2735,2735,2735,500,500,500,500,500,1351,1336,1336,1336,1336,
1333,1333,1333,1333,1333,523,523,523,523,523,4856,4856,4856,4856,4856,2757,2757,2757,2757,2757,500,500,500,500,500,1360,1303,1303,1303,1303,
1284,1284,1284,1284,1284,511,511,511,511,511,4899,4899,4899,4899,4899,2695,2695,2695,2695,2695,500,500,500,500,500,1347,1370,1370,1370,1370,
1322,1322,1322,1322,1322,505,505,505,505,505,4870,4870,4870,4870,4870,2715,2715,2715,2715,2715,500,500,500,500,500,1363,1396,1396,1396,1396,
1366,1366,1366,1366,1366,510,510,510,510,510,4868,4868,4868,4868,4868,2628,2628,2628,2628,2628,500,500,500,500,500,1331,1382,1382,1382,1382,
1389,1389,1389,1389,1389,529,529,529,529,529,4996,4996,4996,4996,4996,2639,2639,2639,2639,2639,500,500,500,500,500,1357,1462,1462,1462,1462,
1339,1339,1339,1339,1339,520,520,520,520,520,4997,4997,4997,4997,4997,2672,2672,2672,2672,2672,500,500,500,500,500,1331,1422,1422,1422,1422,
