SHITOMASI & BRISK,SHITOMASI & BRIEF,SHITOMASI & ORB,SHITOMASI & FREAK,SHITOMASI & SIFT,HARRIS & BRISK,HARRIS & BRIEF,HARRIS & ORB,HARRIS & FREAK,HARRIS & SIFT,FAST & BRISK,FAST & BRIEF,FAST & ORB,FAST & FREAK,FAST & SIFT,BRISK & BRISK,BRISK & BRIEF,BRISK & ORB,BRISK & FREAK,BRISK & SIFT,ORB & BRISK,ORB & BRIEF,ORB & ORB,ORB & FREAK,ORB & SIFT,AKAZE & AKAZE,SIFT & BRISK,SIFT & BRIEF,SIFT & FREAK,SIFT & SIFT,
10.379359,9.847450,10.231287,10.496771,8.546110,8.237714,7.449261,7.561423,7.322850,8.929495,1.119478,1.096048,1.121648,1.087648,1.107558,29.274639,27.363129,30.326197,25.924623,26.234341,4.992882,4.575585,4.146008,4.447903,4.377832,59.975864,86.815369,81.229286,72.711357,83.513885,
10.561991,10.427980,10.000133,10.888598,8.546419,8.490259,7.583944,7.431301,7.992570,8.107902,1.266871,1.084107,1.090228,1.107308,1.090958,28.960754,27.384598,27.830984,25.962345,27.102875,4.782139,4.238719,4.359191,4.381542,4.672376,61.373760,85.403419,81.954323,78.789688,79.588799,
9.693938,10.392270,10.344159,9.514115,16.218386,8.000161,7.591834,7.596814,8.842615,9.904181,1.244901,1.081978,1.166679,1.198700,1.101568,27.137753,26.410892,27.096033,25.863983,27.124264,4.336811,4.526605,4.367211,4.403093,4.624507,73.631287,84.103210,81.948044,103.913559,71.502899,
9.507775,10.144315,10.709315,8.381666,11.312965,7.733337,7.514442,7.911989,7.509342,7.427051,1.078538,1.313241,1.077157,1.261541,1.150458,26.201088,26.393911,26.205118,26.439974,25.850904,4.569635,4.554755,4.289701,4.594225,4.241340,69.906769,91.961823,79.440414,108.729599,65.268303,
9.335932,11.041480,10.433269,8.671942,8.914335,8.263325,7.678725,7.676886,7.455921,7.596824,1.154518,1.118328,1.257021,1.074097,1.087348,26.805088,30.755684,26.663286,25.994276,26.312641,4.470704,4.266420,4.695186,5.204455,4.199699,59.062222,88.141228,78.423248,83.932732,66.445381,
9.203009,10.354518,10.615353,8.155843,10.556433,7.607894,7.621945,7.601754,8.775653,7.558574,1.249140,1.079408,1.175550,1.080078,1.092688,27.644552,27.342367,25.753262,26.805439,25.786793,4.531335,4.491164,4.364782,4.264339,6.035668,64.039810,78.353386,78.565559,86.631882,70.412437,
9.991464,9.965672,11.125951,7.920510,10.961029,7.125416,7.552273,7.566093,7.644765,10.169596,1.239830,1.227180,1.142428,1.096778,1.620526,27.309687,29.597204,25.748772,25.719311,26.552965,4.350992,4.189769,4.311621,4.218229,4.410852,71.594719,80.943619,94.210136,84.198296,60.447815,
9.987913,10.100615,10.958998,8.484009,9.860231,7.851948,7.673075,7.534723,7.609414,7.752766,1.189599,1.118088,1.117709,1.258070,1.333722,25.619318,27.650932,25.703390,25.721891,25.578669,4.399633,4.334802,4.424302,4.492152,4.516404,60.399242,81.711380,81.706657,82.004707,72.873016,
9.711858,10.003533,10.435491,7.929601,11.082390,7.538262,7.681396,7.507353,7.448411,7.711596,1.128188,1.162379,1.148039,1.124099,1.121878,26.753448,26.723459,27.113523,25.907543,27.883686,4.304661,4.440733,4.287370,4.348701,5.315867,70.147270,80.433594,84.310577,107.144569,72.151009,
9.670767,10.037333,10.939039,8.075241,9.863160,7.815848,7.597274,7.474631,7.559293,10.510612,1.141139,1.273361,1.114548,1.112348,1.128838,26.467724,30.002260,26.659836,26.523516,30.258556,4.319492,4.325681,4.851209,4.229900,4.913450,61.086575,90.439278,73.054054,79.091408,74.808784,
