SHITOMASI & BRISK,SHITOMASI & BRIEF,SHITOMASI & ORB,SHITOMASI & FREAK,SHITOMASI & SIFT,HARRIS & BRISK,HARRIS & BRIEF,HARRIS & ORB,HARRIS & FREAK,HARRIS & SIFT,FAST & BRISK,FAST & BRIEF,FAST & ORB,FAST & FREAK,FAST & SIFT,BRISK & BRISK,BRISK & BRIEF,BRISK & ORB,BRISK & FREAK,BRISK & SIFT,ORB & BRISK,ORB & BRIEF,ORB & ORB,ORB & FREAK,ORB & SIFT,AKAZE & AKAZE,SIFT & BRISK,SIFT & BRIEF,SIFT & FREAK,SIFT & SIFT,
32766,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,175,175,175,175,
32766,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,175,175,175,175,
32766,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,175,175,175,175,
32766,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,175,175,175,175,
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,175,175,175,175,
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,175,175,175,175,
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,175,175,175,175,
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,175,175,175,175,
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,175,175,175,175,175,
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,175,175,175,175,175,
